main_sku,master_sku,name,тип,barcode,barcodes,является_основным,основной_sku,дубли,компоненты_count,компоненты,входит_в_комплекты
108133152_503581098,108133152,Skin1004 Madagascar Centella Poremizing Deep пенка 125 мл,Товар,8809576261653,8809576261653,да,,,0,,117243693_345581291
103348921_182145,103348921,Tarte Shape Tape консилер 12B Fair Beige,Товар,,,да,,"106918658_180134,114313509_099067985",0,,
116708253_829066376,116708253,MEDI-PEEL тонер Peptide 9 Volume Bio Tox pro Toner 250 мл,Товар,8809941820317,8809941820317,да,,135466398_464209778,0,,
113032825_547390197,113032825,ANGIOPHARM Silk Amino Acids Cleansing гель 400 мл,Товар,4603789160864,4603789160864,да,,,0,,
107426775_536022,107426775,Rovectin крем Skin Essentials Barrier Repair Aqua Concentrate для лица 60 мл,Товар,,,да,,,0,,
119721098_435841962,119721098,Influence Universum Stick 3 in 1 корректор 2,Товар,4602006362050,4602006362050,да,,,0,,
114723818_135212,114723818,ART SOFFIO тени прессованные Creates Graphics 07,Товар,,,да,,,0,,
101712217_15142052,101712217,Dr.Ceuracle тонер Cica Regen 92 Toner 120 мл,Товар,,,да,,,0,,117415013_686535434
112296034_311195055,112296034,BAZE Leave-In 20in1 спрей ультралегкая фиксация 250 мл,Товар,,,да,,,0,,
24800075_444225,24800075,Vivienne Sabo Jolies Levres карандаш 102,Товар,3700971335572,3700971335572,да,,,0,,
102547908_15142052,102547908,Aroma Home Кедровое дерево и Пачули 50 мл,Товар,,,да,,,0,,
102078353_688968637,102078353,Vivienne Sabo Gloire D'amour хайлайтер 01 светло розовый,Товар,3700971361427,3700971361427,да,,,0,,
122724454_065786574,122724454,Sen Sulu карандаш Classic V2 Темно-коричневый,Товар,8682504114838,8682504114838,да,,,0,,152998349_050379583
109019258_063052602,109019258,Vivienne Sabo Le Grand Volume карандаш 06,Товар,3666670803487,3666670803487,да,,,0,,
101008095_822655940,101008095,Makeup Revolution Raise the Bar Highlight Reloaded хайлайтер,Товар,,,да,,,0,,
121029547_718472226,121029547,Influence Universum Stick 3 in 1 корректор 3,Товар,4602006362067,4602006362067,да,,,0,,
115677364_283841140,115677364,MEDI-PEEL Algo-Tox Vita Cleanser Vegan Lemon гель-пенка 150 мл,Товар,8809941820997,8809941820997,да,,,0,,
100385531_15142052,100385531,Farmstay тонер Snail Visible Difference Moisture 350 мл,Товар,8809809800215,8809809800215,да,,,0,,
144070706_316741612,144070706,Anlee beauty Fall in Love парфюмированное масло для интимной гигиены для тела 7 г,Товар,,,да,,,0,,
101619867_021492177,101619867,ART SOFFIO Make Up Lipliner Pencil карандаш 0141 Кремовый Розовый,Товар,,,да,,,0,,
117280160_908282918,117280160,ANGIOPHARM тоник Salicylic Tonic Anti Acne 50 мл,Товар,4603789161021,4603789161021,да,,,0,,
117280127_117632573,117280127,ANGIOPHARM тоник Active Sensitive 50 мл,Товар,,,да,,130743339_506390104,0,,
136582303_382111117,136582303,"MIZON крем Inout Daily Soothing Sunscreen SPF50 для лица, для зоны декольте 50 мл",Товар,8809663756703,8809663756703,да,,,0,,
110731959_857846789,110731959,Lacto-Fit Пробиотик,Товар,,,да,,,0,,
104060304_802575,104060304,Round Lab тонер Mugwort Calming 300 мл,Товар,8809738605714,8809738605714,да,,,0,,
108448693_165232800,108448693,ANGIOPHARM крем Azelaine Anti-Acne для лица 50 мл,Товар,4603789160826,4603789160826,да,,,0,,
102944916_289538992,102944916,LUXVISAGE Prime Expert Pore Filler основа под макияж для лица 35 мл,Товар,4811329034784,4811329034784,да,,,0,,
110411718_693885156,110411718,ANGIOPHARM крем Azelaine Soft Sensitive для лица 50 мл,Товар,,,да,,,0,,
105161347_954556203,105161347,Маска для лица ANGIOPHARM крем Cleansing Mask 75 мл,Товар,4660307840899,4660307840899,да,,,0,,
106250374_15142052,106250374,Round Lab крем Birch Moisture Sun Cushion для лица 15 мл,Товар,,,да,,,0,,117556608_226125555
118575102_602142278,17300995,"LACOSTE L.12.12 Blanc туалетная вода EDT 100 мл, для мужчин",Товар,,,да,,,0,,
100704541_953944,100704541,Vivienne Sabo Jolies Levres карандаш 103,Товар,3700971335589,3700971335589,да,,,0,,
103289107_929348,103289107,Likato Professional Salicylic Acid пенка 150 мл,Товар,,,да,,,0,,
112626125_341900433,112626125,The Act скраб кофейный отшелушивающий для губ 25 г,Товар,4678599767589,4678599767589,да,,,0,,
131012852_309390615,131012852,ANGIOPHARM сыворотка Niacinamide Anti Acne для лица 5 мл,Товар,4603789162080,4603789162080,да,,,0,,
115704462_274836636,115704462,Romand Glasting Color Gloss блеск для губ 05 Dim Mauve,Товар,8809625248833,8809625248833,да,,,0,,
109088215_204052665,109088215,SKIN&LAB Barrierderm Mild пенка 150 мл,Товар,,,да,,,0,,
100471445_15142052,100471445,Pyunkang Yul Acne пенка 120 мл,Товар,,,да,,,0,,
103522290_467049424,103522290,ANGIOPHARM крем Anti Couperose для лица 50 мл,Товар,4603784188160,4603784188160,да,,,0,,
110371372_258901,110371372,Vivienne Sabo Le Grand Volume блеск для губ 10 коричнево-красный,Товар,3700971333943,3700971333943,нет,101818708_608020,,0,,
101818708_608020,101818708,Vivienne Sabo Le Grand Volume блеск для губ 10 Коричнево-красный,Товар,3700971333943,3700971333943,да,,110371372_258901,0,,
